Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 29.6     |
|    ep_rew_mean     | -0.384   |
| time/              |          |
|    fps             | 3195     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.4         |
|    ep_rew_mean          | 0.00778      |
| time/                   |              |
|    fps                  | 1385         |
|    iterations           | 2            |
|    time_elapsed         | 11           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0111576095 |
|    clip_fraction        | 0.0757       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.6         |
|    explained_variance   | -0.0582      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0739       |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00718     |
|    value_loss           | 0.21         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.2        |
|    ep_rew_mean          | -6.16       |
| time/                   |             |
|    fps                  | 1156        |
|    iterations           | 3           |
|    time_elapsed         | 21          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.008891931 |
|    clip_fraction        | 0.0698      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | -0.00397    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0563     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0082     |
|    value_loss           | 0.158       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.5        |
|    ep_rew_mean          | -7.12       |
| time/                   |             |
|    fps                  | 1078        |
|    iterations           | 4           |
|    time_elapsed         | 30          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.009337478 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | 0.0384      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0605     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00976    |
|    value_loss           | 0.0573      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.8        |
|    ep_rew_mean          | -3.28       |
| time/                   |             |
|    fps                  | 1032        |
|    iterations           | 5           |
|    time_elapsed         | 39          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.012154844 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.103       |
|    learning_rate        | 0.0003      |
