Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 43.6     |
|    ep_rew_mean     | -64.1    |
| time/              |          |
|    fps             | 2094     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57          |
|    ep_rew_mean          | -45.5       |
| time/                   |             |
|    fps                  | 868         |
|    iterations           | 2           |
|    time_elapsed         | 18          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.012894567 |
|    clip_fraction        | 0.223       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.0925      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0498     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0177     |
|    value_loss           | 0.125       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.4        |
|    ep_rew_mean          | -33.8       |
| time/                   |             |
|    fps                  | 733         |
|    iterations           | 3           |
|    time_elapsed         | 33          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.017638963 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.324       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.117      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0329     |
|    value_loss           | 0.0217      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.4        |
|    ep_rew_mean          | -54.2       |
| time/                   |             |
|    fps                  | 616         |
|    iterations           | 4           |
|    time_elapsed         | 53          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.012945189 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.48       |
|    explained_variance   | -0.0106     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0971     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0214     |
|    value_loss           | 0.0157      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.2        |
|    ep_rew_mean          | -44.4       |
| time/                   |             |
|    fps                  | 578         |
|    iterations           | 5           |
|    time_elapsed         | 70          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014873842 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | -0.122      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0726     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0151     |
|    value_loss           | 0.0195      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95.5        |
|    ep_rew_mean          | -32.9       |
| time/                   |             |
|    fps                  | 561         |
|    iterations           | 6           |
|    time_elapsed         | 87          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.006508146 |
|    clip_fraction        | 0.0849      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.206       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0681     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00701    |
|    value_loss           | 0.0168      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.3        |
|    ep_rew_mean          | -39.8       |
| time/                   |             |
|    fps                  | 572         |
|    iterations           | 7           |
|    time_elapsed         | 100         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.005617689 |
|    clip_fraction        | 0.0732      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.518       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0591     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00507    |
|    value_loss           | 0.0147      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | -45.7       |
| time/                   |             |
|    fps                  | 568         |
|    iterations           | 8           |
|    time_elapsed         | 115         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.010249285 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.747       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0597     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00886    |
|    value_loss           | 0.0117      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.8        |
|    ep_rew_mean          | -25.8       |
| time/                   |             |
|    fps                  | 555         |
|    iterations           | 9           |
|    time_elapsed         | 132         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.007128912 |
|    clip_fraction        | 0.0567      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0222     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00348    |
|    value_loss           | 0.0191      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | -35.2       |
| time/                   |             |
|    fps                  | 548         |
|    iterations           | 10          |
|    time_elapsed         | 149         |
|    total_timesteps      | 81920       |
| train/                  |             |
