Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 33.8     |
|    ep_rew_mean     | -16.7    |
| time/              |          |
|    fps             | 1365     |
|    iterations      | 1        |
|    time_elapsed    | 5        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.1        |
|    ep_rew_mean          | -14.5       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 2           |
|    time_elapsed         | 28          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009427459 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | -0.0424     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0118      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00897    |
|    value_loss           | 0.188       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | -15.7       |
| time/                   |             |
|    fps                  | 442         |
|    iterations           | 3           |
|    time_elapsed         | 55          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.015336572 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.175       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00886    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0218     |
|    value_loss           | 0.0491      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65          |
|    ep_rew_mean          | -17.5       |
| time/                   |             |
|    fps                  | 381         |
|    iterations           | 4           |
|    time_elapsed         | 85          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.014753112 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.5        |
|    explained_variance   | 0.396       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0311     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.0296      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.4        |
|    ep_rew_mean          | -15.4       |
| time/                   |             |
|    fps                  | 361         |
|    iterations           | 5           |
|    time_elapsed         | 113         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.016256228 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.0819      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0191     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 0.0498      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -14.9       |
| time/                   |             |
|    fps                  | 361         |
|    iterations           | 6           |
|    time_elapsed         | 136         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.013237662 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.291       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.033      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00954    |
|    value_loss           | 0.0209      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.7        |
|    ep_rew_mean          | -12.4       |
| time/                   |             |
|    fps                  | 355         |
|    iterations           | 7           |
|    time_elapsed         | 161         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.014906027 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 0.499       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00862    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0068     |
|    value_loss           | 0.0261      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 83.6        |
|    ep_rew_mean          | -9.38       |
| time/                   |             |
|    fps                  | 352         |
|    iterations           | 8           |
|    time_elapsed         | 185         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.011241116 |
|    clip_fraction        | 0.0592      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
